iter	Passed	Remaining
0	15	6104
1	29	5915
2	36	4791
3	45	4534
4	52	4130
5	61	4035
6	69	3901
7	80	3935
8	85	3733
9	94	3700
10	100	3570
11	109	3553
12	116	3476
13	125	3471
14	132	3388
15	140	3365
16	146	3302
17	152	3228
18	161	3244
19	172	3284
20	179	3235
21	184	3177
22	195	3198
23	201	3159
24	212	3184
25	217	3127
26	226	3135
27	232	3088
28	242	3102
29	248	3062
30	257	3064
31	262	3017
32	270	3006
33	276	2972
34	281	2934
35	288	2920
36	293	2883
37	302	2884
38	309	2863
39	315	2835
40	326	2859
41	334	2847
42	340	2828
43	346	2800
44	354	2794
45	360	2772
46	368	2768
47	374	2749
48	380	2725
49	389	2727
50	395	2704
51	404	2705
52	410	2687
53	419	2687
54	426	2673
55	434	2668
56	440	2649
57	446	2633
58	456	2636
59	461	2614
60	469	2611
61	475	2592
62	483	2587
63	489	2570
64	495	2556
65	503	2548
66	509	2531
67	519	2537
68	524	2518
69	534	2519
70	539	2499
71	548	2499
72	553	2481
73	561	2474
74	572	2479
75	581	2479
76	588	2467
77	599	2474
78	606	2465
79	619	2479
80	628	2474
81	635	2462
82	640	2447
83	650	2447
84	656	2432
85	666	2434
86	671	2417
87	681	2417
88	687	2401
89	696	2400
90	704	2390
91	719	2409
92	729	2407
93	735	2395
94	745	2391
95	750	2377
96	759	2371
97	765	2359
98	771	2344
99	780	2342
100	786	2327
101	795	2324
102	801	2310
103	809	2304
104	815	2292
105	821	2279
106	830	2275
107	836	2261
108	846	2258
109	851	2245
110	861	2242
111	867	2229
112	876	2225
113	881	2212
114	890	2206
115	896	2194
116	902	2181
117	912	2181
118	917	2167
119	928	2167
120	934	2153
121	942	2148
122	948	2136
123	957	2131
124	962	2118
125	971	2111
126	977	2100
127	982	2088
128	991	2083
129	997	2070
130	1006	2065
131	1012	2054
132	1020	2048
133	1028	2040
134	1037	2036
135	1043	2025
136	1052	2021
137	1059	2010
138	1064	1998
139	1074	1995
140	1079	1982
141	1089	1978
142	1094	1967
143	1103	1962
144	1111	1954
145	1119	1948
146	1126	1939
147	1135	1933
148	1141	1923
149	1149	1915
150	1156	1906
151	1161	1895
152	1171	1890
